Adventure Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,"Defeat 1,000 enemies in time!",anyone,,2+
A-2,Defend the allied keeps! Lv.3,Zelda,,2+
A-3,Fight as a warrior of darkness! Lv.3,anyone,,unknown
A-4,Fight the chosen ones!,Agitha,,1
A-5,Fight through the Triforce quiz!,anyone,,unknown
A-6,Defeat the Demon King!,not observed,,unknown
A-7,Go alone--despite the danger!,Link,,1
A-8,Prevent the sorceress's scheme!,Linkle,,1
A-9,Weather the storm of enemy forces!,Lana,,1
A-10,Watch out! All attacks are devastating! Lv.12,anyone,,unknown
A-11,Defend the allied keeps! Lv.2,Lana,,2+
A-12,Defeat the mountain beast!,anyone,,unknown
A-13,Defeat all enemies! Lv.11,Ganondorf,,1
A-14,Fight the chosen ones!,Darunia,,1
A-15,Fight through the legendary warrior quiz!,anyone,,unknown
A-16,Take on the sword masters!,Linkle,,1
B-1,"Stop the healers from, well, healing!",Ganondorf,,1
B-2,Fight through the royalty quiz!,anyone,,unknown
B-3,Be like a magician and make your foes disappear!,Zant,,1
B-4,Dash gallantly into battle!,Twili Midna,,1
B-5,Attend the Festival of Cuccos!,Ganondorf,,1
B-6,Defeat all Giant Bosses in time! Lv.14,Ganondorf,,2+
B-7,Capture the enemy keeps! Lv.3,Tingle,,1
B-8,Deal with uninvited guests!,Ganondorf,,1
B-9,Defeat the enemy forces! Lv.3,Ghirahim,,1
B-10,Fight through the women's weapons quiz!,anyone,,unknown
B-11,Defeat all Giant Bosses in time! Lv.12,anyone,,2+
B-12,Defeat all Giant Bosses in time! Lv.3,anyone,,2+
B-13,Fight through the Ocarina of Time quiz!,anyone,,unknown
B-14,Capture the enemy keeps! Lv.4,Ganondorf,,1
B-15,Rescue the allied forces! Lv.3,anyone,,unknown
B-16,Fight as a warrior of water! Lv.3,Link,,1
C-1,Defeat the Dinolfos Forces!,anyone,,unknown
C-2,Defeat the warriors of Twilight!,Link,,1
C-3,Defeat the shadow beast!,anyone,,unknown
C-4,Defeat all enemies! Lv.5,anyone,,unknown
C-5,Fight through the action quiz!,anyone,,unknown
C-6,Fight as a warrior of darkness! Lv.2,anyone,,unknown
C-7,Defeat all Giant Bosses in time! Lv.6,anyone,,2+
C-8,Defeat all enemies! Lv.6,Toon Link,,1
C-9,Capture the enemy keeps! Lv.1,Midna,,1
C-10,Defeat all Giant Bosses in time! Lv.4,Darunia,,2+
C-11,Fight through the tricky quiz!,anyone,,unknown
C-12,Defeat 500 enemies in time! Lv.1,anyone,,2+
C-13,Defeat the commanders of two armies! Lv.2,Darunia,,1
C-14,Defeat the warriors of time!,anyone,,unknown
C-15,Watch out! All attacks are devastating! Lv.10,Zelda,,1
C-16,Survive the attack of those powered-up enemies!,Lana,,1
D-1,Defeat the Shield Moblin Forces! Lv.1,Zant,,2+
D-2,Defeat all enemies! Lv.4,anyone,,unknown
D-3,Defeat 600 enemies in time! Lv.1,anyone,,2+
D-4,Watch out! All attacks are devastating! Lv.5,anyone,,unknown
D-5,Rescue the allied forces! Lv.2,Ghirahim,,1
D-6,Defeat 600 enemies in time! Lv.2,anyone,,2+
D-7,Fight as a warrior of darkness! Lv.1,anyone,,unknown
D-8,Defeat the island beast!,anyone,,2+
D-9,Watch out! All attacks are devastating! Lv.1,anyone,,unknown
D-10,Defeat all enemies! Lv.2,anyone,,unknown
D-11,Watch out! All attacks are devastating! Lv.3,anyone,,unknown
D-12,Defeat all enemies! Lv.3,anyone,,unknown
D-13,Defeat the cliff beast!,anyone,,unknown
D-14,Defeat 500 enemies in time! Lv.2,anyone,,2+
D-15,Watch out for thieves!,Impa,,1
D-16,Defeat all Giant Bosses in time! Lv.13,anyone,,2+
E-1,Defeat the Darknut Forces! Lv.2,Agitha,,1
E-2,Defeat all Giant Bosses in time! Lv.7,anyone,,2+
E-3,Defeat the primordial beast!,anyone,,unknown
E-4,Defeat 700 enemies in time! Lv.2,anyone,,2+
E-5,Watch out! All attacks are devastating! Lv.8,Link,,1
E-6,Defeat the ocean beast!,not observed,,unknown
E-7,Defeat the Moblin Forces!,anyone,,2+
E-8,Defeat 400 enemies in time! Lv.1,Lana,,2+
E-9,Defeat the enemy forces! Lv.1,anyone,,unknown
E-10,Fight as a warrior of fire! Lv.1,Darunia,,1
E-11,Defeat 500 enemies in time! Lv.3,anyone,,2+
E-12,Defeat the warriors of time!,Zelda,,2+
E-13,Fight through the tribe quiz!,anyone,,unknown
E-14,Watch out! All attacks are devastating! Lv.4,anyone,,unknown
E-15,Fight as a warrior of water! Lv.2,Link,,1
E-16,Defeat all enemies! Lv.9,Tingle,,1
F-1,Watch out! All attacks are devastating! Lv.6,Midna,,2+
F-2,Capture the enemy keeps! Lv.2,Link,,1
F-3,Watch out! All attacks are devastating! Lv.7,anyone,,unknown
F-4,Defeat all Giant Bosses in time! Lv.8,anyone,,2+
F-5,Defend the allied keeps! Lv.1,Fi,,2+
F-6,Fight through the Twilight Princess quiz!,not observed,,unknown
F-7,Fight as a warrior of fire!,Midna,,1
F-8,Fight through the weapon quiz!,Lana,,1
F-9,Fight through the forgetful foe quiz!,anyone,,unknown
F-10,Watch out! All attacks are devastating! Lv.2,Linkle,,1
F-11,Defeat 400 enemies in time! Lv.2,anyone,,2+
F-12,Rescue the allied forces! Lv.1,anyone,,unknown
